location,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Research Network,QS2023 Employment Outcomes,QS2023 Score,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 Score,THE2020 Arts,THE2020 Business/Economics,THE2020 Medicine,THE2020 Computer Science,THE2020 Education,THE2020 Engineering,THE2020 Law,THE2020 Life Sciences,THE2020 Physical Sciences,THE2020 Psychology,THE2020 Social Sciences,ARWU2018 Academic Performance per Capita
Estonia,15.666666666666666,8.933333333333334,40.166666666666664,10.866666666666667,66.16666666666667,86.83333333333333,35.4,15.633333333333333,11.966666666666667,39.666666666666664,13.133333333333333,34.7,27.45,38.85,34.3,41.5,27.25,,,50.0,41.25,38.45,32.3,17.5
Finland,25.033333333333335,25.255555555555556,43.82222222222222,49.73333333333333,80.46666666666667,26.0,38.05714285714286,25.555555555555557,23.88888888888889,46.13333333333333,49.666666666666664,37.94285714285714,31.771428571428572,37.614285714285714,38.291666666666664,40.207142857142856,41.65833333333333,44.2,43.9,48.0375,40.025,37.730000000000004,36.94,22.125
France,25.061290322580643,19.13225806451613,30.845161290322583,28.351612903225806,69.88064516129033,21.200000000000003,48.824999999999996,25.61935483870968,19.516129032258064,31.24516129032258,23.835483870967742,51.25,38.7,17.200000000000003,45.300000000000004,39.9375,40.525,35.53333333333334,,52.5625,54.125,28.3,36.9,21.599999999999998
Georgia,8.0,3.6,78.1,1.2,13.4,60.2,,6.8,5.3,85.4,1.2,,,,,,,,,,14.15,,,
Germany,30.877777777777776,23.473333333333333,38.45333333333333,32.7,81.39111111111112,17.95111111111111,41.167857142857144,31.37333333333333,26.1,37.06,35.93777777777778,40.309999999999995,36.3,38.410000000000004,46.025,51.85,41.1,55.19166666666666,,48.725,50.0,46.166666666666664,38.58,18.575
Ghana,9.2,6.2,3.5,5.5,51.1,88.7,,9.4,7.2,3.6,5.2,,,27.05,27.55,,,,,15.2,14.15,,27.75,
Greece,17.383333333333333,29.78333333333333,3.1333333333333333,35.93333333333334,64.2,22.833333333333332,27.3,17.083333333333332,26.400000000000002,3.3333333333333335,38.43333333333333,27.3,23.85,17.200000000000003,32.1875,29.689999999999998,30.816666666666663,31.433333333333334,,25.4875,28.65,26.25,23.2,17.599999999999998
Honduras,4.6,5.8,3.6,1.0,8.1,,,4.3,6.5,3.7,1.0,,,,,,,,,,,,,
Hong Kong SAR,65.2,38.85454545454545,68.9090909090909,74.95454545454545,60.027272727272724,65.46363636363637,73.57,66.55454545454546,45.300000000000004,69.86363636363636,70.8,74.02,34.88333333333333,61.489999999999995,34.3,62.98,32.599999999999994,72.3,66.9,54.7,61.45,,53.11,27.7
Hungary,12.833333333333334,12.066666666666666,27.177777777777777,4.077777777777778,46.46666666666667,23.455555555555556,,12.577777777777778,14.47777777777778,29.34444444444445,4.2555555555555555,,23.85,17.200000000000003,27.55,17.299999999999997,,22.65,,30.566666666666663,29.725,35.35,28.8875,
India,14.570588235294117,17.2,20.11764705882353,37.029411764705884,36.588235294117645,31.66764705882353,39.4125,14.052941176470588,15.373529411764704,21.48235294117647,35.37352941176471,38.1375,19.85,22.125,29.130000000000003,27.522222222222222,,26.563636363636363,,31.105,26.115624999999998,,22.083333333333332,20.2
Indonesia,18.59375,25.4375,29.28125,1.51875,14.2875,17.1,34.9,17.39375,20.03125,27.075,1.5125,33.225,,17.200000000000003,,25.95,,22.65,,,14.15,,,
"Iran, Islamic Republic of",10.283333333333333,18.533333333333335,4.966666666666667,70.43333333333332,57.68333333333334,37.516666666666666,27.950000000000003,10.233333333333333,15.049999999999999,5.366666666666667,69.68333333333332,27.3,15.85,32.88333333333333,,33.75,27.25,34.3,,15.2,27.97,31.25,27.75,19.75
Iraq,4.64,6.4799999999999995,27.439999999999998,1.44,17.639999999999997,42.18,,4.9399999999999995,8.32,26.32,1.42,,,,34.3,,,22.65,,15.2,14.15,,,
Ireland,28.675,32.1,27.587500000000002,24.4375,66.7,40.55,40.42,28.575,30.15,29.775,24.15,40.62,26.919999999999998,29.637500000000003,37.275,33.5125,32.21,34.3,,42.8875,41.12,35.01666666666667,34.37,17.5
Israel,21.400000000000002,15.75,27.816666666666666,50.61666666666667,65.83333333333333,46.51666666666667,32.95,21.95,19.766666666666666,29.45,56.11666666666667,32.980000000000004,35.93333333333334,31.375,36.266666666666666,37.4,35.36666666666667,40.0,31.53333333333333,37.48333333333334,43.55,41.15,35.449999999999996,23.733333333333334
Italy,20.48292682926829,10.88048780487805,9.324390243902439,38.81219512195122,70.49756097560976,11.817073170731707,33.43846153846154,20.18536585365854,11.670731707317072,9.285365853658536,41.99268292682927,33.09285714285714,25.979166666666668,27.386666666666667,34.92857142857143,36.232142857142854,34.675,34.85,30.799999999999997,37.25714285714286,41.07666666666667,34.06,29.104545454545452,20.385714285714283
Japan,21.620833333333334,26.931250000000002,49.75625,16.125,36.06666666666667,18.275000000000002,51.36666666666667,21.885416666666668,25.587500000000002,51.20416666666667,17.502083333333335,49.76875,40.925,37.978571428571435,32.70172413793104,29.45263157894737,39.65714285714286,25.820588235294117,,34.09137931034483,32.038888888888884,36.949999999999996,36.8375,19.442857142857143
Jordan,10.1625,14.6625,11.2375,3.15,27.5875,33.0125,,9.2125,12.6375,11.6125,3.2375,,,,21.5,41.5,,32.7,,15.2,25.25,,15.3,
Kazakhstan,14.12142857142857,18.914285714285715,55.83571428571429,1.3071428571428572,7.8076923076923075,24.357142857142858,33.36,12.292857142857143,14.821428571428571,56.67857142857143,1.2357142857142858,34.699999999999996,,,,,,22.65,,,14.15,,,
Kenya,9.4,14.9,16.7,1.9,31.4,80.5,,8.9,12.0,15.4,1.9,,,,34.3,,,,,15.2,,,15.3,
Kuwait,11.366666666666667,10.6,10.433333333333334,3.3000000000000003,27.03333333333333,86.53333333333335,,9.066666666666666,9.266666666666667,9.466666666666667,3.266666666666667,,,,30.75,30.7,,22.65,,26.4,14.15,,23.2,
Latvia,10.333333333333334,15.699999999999998,15.266666666666666,4.466666666666666,35.86666666666667,59.03333333333334,,10.166666666666666,15.166666666666666,15.866666666666667,4.8999999999999995,,,,,17.299999999999997,,22.65,,26.4,19.7,,15.3,
Lebanon,11.2125,23.15,43.9375,4.7375,25.474999999999998,26.912499999999998,38.4,10.6,26.5125,42.5875,4.3,39.2,,,,,,,,,,,,
Lithuania,13.075,21.575,40.4,5.05,52.575,29.724999999999998,28.4,13.75,16.825,39.525,5.15,28.0,,26.325000000000003,,17.299999999999997,,18.25,,,14.15,,23.799999999999997,
Macau SAR,6.45,6.65,10.549999999999999,63.65,35.3,77.1,34.9,7.25,4.85,11.8,47.4,32.9,35.599999999999994,31.6,,46.7,47.85,49.1,,38.9,45.2,51.3,32.3,
Malaysia,23.836363636363636,33.913636363636364,37.86818181818182,11.477272727272727,44.98636363636364,15.322727272727274,44.31111111111111,23.154545454545453,32.845454545454544,39.13636363636363,11.718181818181819,45.15,,17.200000000000003,,17.299999999999997,,20.7625,,,27.7,,,
Malta,4.7,3.2,40.8,6.8,63.9,91.9,,5.1,1.6,43.3,6.6,,15.85,,30.75,30.7,27.25,22.65,,,25.25,,23.2,
Mexico,12.80909090909091,19.254545454545454,22.181818181818183,1.8636363636363635,20.259090909090908,16.86818181818182,47.1,12.654545454545454,19.977272727272727,21.96666666666667,1.9136363636363638,48.2,,,,,,,,,,,,
Morocco,2.8,2.6,3.2,3.6,51.1,,,3.0,2.9,4.2,2.9,,,,,,,,,,,,,
Netherlands,44.11538461538461,34.315384615384616,36.0923076923077,68.00769230769231,87.0,34.03076923076923,49.44615384615384,44.56923076923077,41.84615384615385,40.53846153846154,73.13076923076923,51.815384615384616,49.85,55.239999999999995,48.73571428571428,50.41875,50.05833333333334,58.620000000000005,54.699999999999996,61.675000000000004,59.25,63.258333333333326,59.088888888888896,28.71666666666667
New Zealand,35.825,25.6125,19.9125,38.425,64.6375,54.6,37.575,37.3375,30.2375,20.575,37.15,38.525,27.724999999999998,34.375,39.075,30.549999999999997,36.375,34.7,37.0,41.3,36.65,40.25,36.65,20.5
Norway,33.75,13.375,64.625,34.550000000000004,89.675,39.55,39.575,33.925,13.825,66.475,35.55,39.95,39.475,,46.65,38.325,55.5,,44.7,49.650000000000006,50.425,39.825,50.275,24.950000000000003
Oman,15.0,16.9,67.3,14.3,86.8,63.4,29.3,14.8,13.7,76.9,12.1,30.4,,,21.5,,,22.65,,26.4,,,,
Pakistan,10.236363636363636,31.518181818181816,22.936363636363637,20.627272727272725,41.46363636363637,30.472727272727273,30.433333333333334,10.018181818181818,25.70909090909091,23.58181818181818,19.37272727272727,29.5,,31.6,30.75,36.925,,29.8125,,24.75,28.225,,15.3,
"Palestinian Territory, Occupied",4.366666666666666,12.033333333333333,9.166666666666666,2.1,23.366666666666664,43.199999999999996,,4.6000000000000005,8.266666666666667,8.966666666666667,1.9666666666666668,,,,,,,,,,,,,
Panama,8.8,20.1,22.3,1.0,4.4,1.0,,7.6,27.5,26.8,1.0,,,,,,,,,,,,,
Paraguay,5.7,10.3,26.0,1.1,21.0,29.5,,5.7,6.9,22.6,1.1,,,,,,,,,,,,,
Peru,14.0125,28.625,16.6875,1.7,13.0625,19.85,30.2,13.112499999999999,30.625,16.3125,1.6375,28.3,,,,,,,,,,,,
Philippines,19.975,38.175,25.599999999999998,2.1999999999999997,22.075,59.075,27.7,20.475,32.85,27.775,2.125,28.1,,,45.5,17.299999999999997,,25.725,,15.2,25.25,,23.2,
Poland,13.078947368421053,16.263157894736842,32.39473684210526,5.468421052631579,57.77894736842105,12.426315789473684,35.85,13.131578947368421,14.178947368421051,31.342105263157894,5.968421052631579,33.849999999999994,18.516666666666666,17.200000000000003,34.3,21.625,22.6,19.130000000000003,,21.919999999999998,23.325,21.25,19.25,19.0
Portugal,26.3,15.214285714285714,19.3,39.38571428571429,82.31428571428572,29.97142857142857,31.35,24.857142857142858,16.814285714285713,22.285714285714285,32.34285714285714,29.6,23.850000000000005,27.05,33.03333333333333,26.23333333333333,38.38333333333333,32.725,21.6,36.81666666666667,31.424999999999997,27.916666666666668,27.75,19.066666666666666
Puerto Rico,9.2,11.0,9.1,2.5,38.5,47.9,,10.5,8.1,7.4,3.9,,,,,,,,,,,,,
Qatar,24.4,33.2,61.1,36.9,90.1,1.1,42.6,21.6,24.4,70.3,28.1,40.7,,27.05,,41.5,27.25,45.1,,,36.35,,27.75,
Romania,6.67,6.0200000000000005,6.01,3.96,36.489999999999995,15.059999999999999,,7.470000000000001,4.43,6.640000000000001,4.4,,15.85,17.200000000000003,,17.299999999999997,,13.85,,26.4,14.15,,15.3,
Russia,11.220833333333333,10.233333333333333,58.80833333333334,3.3354166666666667,31.047916666666666,15.235416666666667,35.205882352941174,10.9125,9.68125,60.00625,3.3208333333333333,34.27058823529412,36.3125,40.0625,27.741666666666664,30.865,27.35,25.75,21.6,31.125,32.986666666666665,41.88333333333333,29.23,18.85
Saudi Arabia,14.971428571428572,12.75,38.65,11.62142857142857,44.385714285714286,15.764285714285716,39.42,13.1,12.064285714285715,38.478571428571435,12.014285714285714,42.05,,38.85,34.3,38.7,32.599999999999994,34.4,,32.650000000000006,30.8,,32.3,19.6
Serbia,8.375,4.65,10.5,3.925,65.75,25.0,,8.15,5.925,11.85,4.15,,,,,,,,,,,,,22.3
Singapore,67.03333333333333,62.36666666666667,58.833333333333336,70.03333333333333,64.60000000000001,89.66666666666667,90.55000000000001,67.43333333333332,66.93333333333332,63.800000000000004,71.16666666666667,92.35,,,,,,,,,,,,
Slovakia,6.816666666666666,3.016666666666666,41.416666666666664,4.3500000000000005,38.233333333333334,30.666666666666668,,6.833333333333333,3.216666666666667,41.56666666666667,4.516666666666667,,15.85,17.200000000000003,27.55,17.299999999999997,,13.85,,15.2,19.7,,15.3,
Slovenia,13.3,5.0,38.95,7.5,70.1,74.7,,13.35,5.85,43.599999999999994,8.600000000000001,,15.85,22.125,24.525,28.325,17.950000000000003,22.65,21.6,26.4,28.65,21.25,19.25,15.1
South Africa,18.433333333333334,25.655555555555555,12.077777777777778,25.866666666666667,82.25555555555555,50.91111111111111,30.05,18.166666666666668,20.87777777777778,12.61111111111111,28.344444444444445,29.675,24.083333333333332,26.9,38.6,27.1375,29.275000000000002,30.212500000000002,30.5,32.166666666666664,33.78333333333333,33.67,32.93333333333333,18.733333333333334
South Korea,20.48205128205128,24.643589743589743,55.81794871794872,23.246153846153845,34.647368421052626,17.65897435897436,45.65882352941177,20.16923076923077,23.274358974358975,54.382051282051286,24.915384615384617,46.19375,26.566666666666666,37.607142857142854,32.627272727272725,30.896153846153844,47.06666666666666,36.96923076923077,,31.505555555555556,34.69230769230769,41.2,29.29375,21.44
Spain,25.78965517241379,22.282758620689656,28.279310344827586,18.482758620689655,73.10689655172413,20.841379310344827,35.541666666666664,25.441379310344825,23.26551724137931,29.63448275862069,19.106896551724137,35.583333333333336,25.74285714285714,24.392857142857142,29.557142857142857,30.125,28.008333333333336,28.71666666666667,28.733333333333334,31.75714285714286,32.75,26.07,22.892857142857142,15.800000000000002
Sri Lanka,8.7,7.1,11.549999999999999,2.45,17.6,69.69999999999999,,8.9,12.45,10.65,2.5,,,,21.5,,,,,,,,,
Sudan,4.55,4.5,7.3,1.9,20.950000000000003,,,4.7,5.4,8.5,1.85,,,,,,,,,,,,,
Sweden,42.225,34.0125,53.762499999999996,51.4625,91.5375,45.475,48.7625,43.175,37.425,54.95,55.45,49.75,40.375,42.96666666666667,44.599999999999994,41.775,39.3,47.38,40.13333333333333,57.739999999999995,52.208333333333336,39.78,50.4,24.099999999999998
Switzerland,40.019999999999996,34.989999999999995,56.3,69.49,73.6,55.7,61.525,40.62,39.43,58.739999999999995,71.38,59.08888888888888,41.36,48.43333333333334,47.31,47.825,46.400000000000006,,42.86666666666667,59.0,56.17999999999999,45.35,50.0125,32.04
Syrian Arab Republic,5.5,4.4,1.1,1.2,7.8,69.8,,5.2,4.6,1.0,1.2,,,,,,,,,,,,,
