Country,ar score_QS2023,er score_QS2023,fsr score_QS2023,cpf score_QS2023,ifr score_QS2023,isr score_QS2023,irn score,ger score,score scaled_QS2023,ar score_QS2022,er score_QS2022,fsr score_QS2022,cpf score_QS2022,ifr score_QS2022,isr score_QS2022,score scaled_QS2022,ARTU Rank,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences,PCP,Alumni,Award,PUB,N&S,Hi Ci,Expenditure (constant US$ millions),Global University Employability Rank 2020
Finland,28.82857142857143,29.47142857142857,46.57142857142857,54.98571428571428,51.1,10.728571428571428,82.39999999999999,31.228571428571428,38.05714285714286,29.45714285714286,27.971428571428568,48.5,55.142857142857146,37.68571428571429,11.714285714285714,37.94285714285714,263.3333333333333,27.45,35.45,37.25,38.7,36.75,45.1,43.9,43.7,36.35,41.2,35.525,21.36,3.66,4.16,37.66,12.12,15.76,4080.04121,158.0
France,42.46153846153846,41.08461538461539,53.93846153846154,54.02307692307692,42.79230769230769,59.69230769230769,82.1,42.07692307692308,48.04615384615385,46.9,45.654545454545456,59.68181818181818,49.77272727272727,32.4,59.06363636363637,49.98181818181818,148.5,25.65,17.200000000000003,38.900000000000006,35.15,27.25,32.7,43.55,43.7,41.25,21.25,30.025,26.47222222222222,15.02222222222222,15.555555555555555,36.69444444444444,16.17222222222222,8.988888888888889,32897.84815,80.0
Germany,43.41153846153846,33.646153846153844,40.95769230769231,44.08846153846154,46.45769230769231,38.33846153846154,87.96923076923076,22.76923076923077,42.18846153846154,42.86538461538461,38.323076923076925,38.67692307692308,48.96153846153846,30.434615384615384,38.98076923076923,42.15384615384615,194.36,33.25,38.85,40.2,43.65,39.2,42.75,50.85,48.575,45.2,43.6,41.75,21.23611111111111,9.608333333333333,5.080555555555556,35.51111111111111,15.14722222222222,14.091666666666669,48728.84314,105.5
Greece,18.7,45.7,5.3,67.9,1.4,7.5,68.9,68.0,27.3,19.2,40.5,6.1,69.1,1.0,7.1,27.3,,23.85,22.125,30.75,28.325,27.25,30.75,,20.8,28.65,26.25,23.2,17.599999999999998,0.0,0.0,32.46666666666667,2.4,14.1,1348.03173,
Hong Kong SAR,67.85000000000001,40.3,70.93333333333334,78.45,99.66666666666669,92.96666666666664,61.98333333333333,67.15,71.05,69.31666666666666,46.7,71.0,73.88333333333334,99.36666666666667,93.45,71.33333333333333,,,,,,,,,,,,,,,,,,,,
India,33.975,48.1625,23.3625,79.35,3.9375,1.5875,42.2625,54.2125,39.4125,31.6875,41.45,25.225,79.8625,1.2875,1.6125,38.1375,269.0,19.85,17.200000000000003,21.5,25.95,,22.65,,26.4,25.25,,25.475,20.2,0.0,0.0,41.3,0.0,0.0,36111.43931,156.0
Indonesia,38.14,52.24,55.67999999999999,1.7600000000000002,51.82000000000001,3.22,25.34,27.04,34.9,40.125,47.375,51.575,1.8,29.15,2.85,33.225,,,27.05,26.125,25.95,,22.65,,15.2,14.15,,25.475,,,,,,,,
"Iran, Islamic Republic of",8.3,27.6,6.300000000000001,98.95,11.85,1.85,57.45,60.95,27.950000000000003,8.75,21.55,7.300000000000001,98.7,4.6,2.5,27.3,,,,,,,,,,,,,,,,,,,,
Ireland,38.220000000000006,39.42,37.38,31.8,92.16,50.62,80.08,56.94,40.42,38.08,37.48,39.5,29.880000000000003,91.16,60.32000000000001,40.62,224.5,27.45,35.45,40.2,36.925,27.25,36.7,,46.85,36.35,35.35,35.85,17.6,3.8,3.275,30.2,8.625,15.05,3479.40843,125.0
Israel,26.775,19.75,32.8,51.150000000000006,57.725,8.625,69.8,60.45,32.95,23.6,21.76,27.7,65.0,45.04,9.0,32.980000000000004,275.2,38.6,45.55,37.6,47.900000000000006,34.675,40.0,36.5,43.7,47.975,38.45,32.3,23.96666666666667,12.1,13.533333333333331,36.18333333333333,18.566666666666663,10.9,3219.30537,98.5
